round_id,round,method,size,task,seed,accuracy,precision,f1,recall,fpr
round2,Round 2: per-pcap stats + pcap split,cnn1d,784,binary2,42,0.9986455981941308,0.9986484317650628,0.998646865272306,0.9986455981941308,0.0082037975426514
round2,Round 2: per-pcap stats + pcap split,cnn1d,8100,behavior14,42,0.5559425943987739,0.4274237223504721,0.4644169118880785,0.5559425943987739,0.043779203739295
round2,Round 2: per-pcap stats + pcap split,cnn1d,8100,binary2,42,0.9956358164033108,0.995577826844995,0.9955811860667236,0.9956358164033108,0.0416417010682422
round2,Round 2: per-pcap stats + pcap split,dt,4096,behavior14,42,0.740420788630347,0.8421112121115703,0.7465906532277231,0.740420788630347,0.0209028729082354
round2,Round 2: per-pcap stats + pcap split,dt,4096,binary2,42,1.0,1.0,1.0,1.0,0.0
round2,Round 2: per-pcap stats + pcap split,dt,784,behavior14,42,0.740420788630347,0.8421112121115703,0.7465906532277231,0.740420788630347,0.0209028729082354
round2,Round 2: per-pcap stats + pcap split,dt,784,binary2,42,1.0,1.0,1.0,1.0,0.0
round2,Round 2: per-pcap stats + pcap split,dt,8100,behavior14,42,0.740420788630347,0.8421112121115703,0.7465906532277231,0.740420788630347,0.0209028729082354
round2,Round 2: per-pcap stats + pcap split,dt,8100,binary2,42,1.0,1.0,1.0,1.0,0.0
round2,Round 2: per-pcap stats + pcap split,resnet18,4096,behavior14,42,0.5831127211926989,0.7368503175647565,0.5455968629759042,0.5831127211926989,0.0379986364665458
round2,Round 2: per-pcap stats + pcap split,resnet18,4096,binary2,42,0.9953348382242287,0.9952727034098064,0.9952856301592492,0.9953348382242287,0.0417982200853028
round2,Round 2: per-pcap stats + pcap split,resnet18,784,behavior14,42,0.5662533091821095,0.4663976711990956,0.465924001645393,0.5662533091821095,0.0415315951378282
round2,Round 2: per-pcap stats + pcap split,resnet18,784,binary2,42,0.9966892400300978,0.9966623228385136,0.9966703879489496,0.9966892400300978,0.0279698260682422
round2,Round 2: per-pcap stats + pcap split,resnet18,8100,behavior14,42,0.5767033579490037,0.6852685752688691,0.4872361613889472,0.5767033579490037,0.040853953531093
round2,Round 2: per-pcap stats + pcap split,resnet18,8100,binary2,42,0.9942814145974416,0.9941794373875522,0.9941812519804232,0.9942814145974416,0.0554700950853028
round2,Round 2: per-pcap stats + pcap split,rf,4096,behavior14,42,0.7480841577260694,0.930567714586816,0.7866824456329485,0.7480841577260694,0.0192863053303018
round2,Round 2: per-pcap stats + pcap split,rf,4096,binary2,42,1.0,1.0,1.0,1.0,0.0
round2,Round 2: per-pcap stats + pcap split,rf,784,behavior14,42,0.7480841577260694,0.930567714586816,0.7866824456329485,0.7480841577260694,0.0192863053303018
round2,Round 2: per-pcap stats + pcap split,rf,784,binary2,42,1.0,1.0,1.0,1.0,0.0
round2,Round 2: per-pcap stats + pcap split,rf,8100,behavior14,42,0.7480841577260694,0.930567714586816,0.7866824456329485,0.7480841577260694,0.0192863053303018
round2,Round 2: per-pcap stats + pcap split,rf,8100,binary2,42,1.0,1.0,1.0,1.0,0.0
round2,Round 2: per-pcap stats + pcap split,xgb,4096,behavior14,42,0.6157168733454089,0.7348276829316788,0.6337871768628819,0.6157168733454089,0.0281482861455361
round2,Round 2: per-pcap stats + pcap split,xgb,4096,binary2,42,1.0,1.0,1.0,1.0,0.0
round2,Round 2: per-pcap stats + pcap split,xgb,784,behavior14,42,0.6157168733454089,0.7348276829316788,0.6337871768628819,0.6157168733454089,0.0281482861455361
round2,Round 2: per-pcap stats + pcap split,xgb,784,binary2,42,1.0,1.0,1.0,1.0,0.0
round2,Round 2: per-pcap stats + pcap split,xgb,8100,behavior14,42,0.6157168733454089,0.7348276829316788,0.6337871768628819,0.6157168733454089,0.0281482861455361
round2,Round 2: per-pcap stats + pcap split,xgb,8100,binary2,42,1.0,1.0,1.0,1.0,0.0
